Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AAA02942.1,Begomovirus,Begomovirus,Begomovirus,replicative protein,X,X,X,
AAA42751.2,Curtovirus,Curtovirus,Curtovirus,[Beet curly top virus - California,X,X,X,X
AAA42972.1,Mastrevirus,Mastrevirus,Mastrevirus,replication associated protein A,X,X,X,
AAA46312.1,Begomovirus,Begomovirus,Begomovirus,putative replicative protein,X,X,X,
AAA47950.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA protein,X,X,X,
AAA47955.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
AAA92811.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAA92821.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAB02132.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAB08932.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAB18173.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAB18926.1,Curtovirus,Curtovirus,Curtovirus,rep,X,X,X,X
AAB25544.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,
AAB40392.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAB61145.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAB63456.1,Mastrevirus,Mastrevirus,Mastrevirus,replication-associated protein A,X,X,X,
AAB65397.1,Mastrevirus,Mastrevirus,Mastrevirus,replication associated protein A,X,X,X,
AAB66667.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAB87607.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAC05152.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAC09254.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAC32402.1,Begomovirus,Begomovirus,Begomovirus,replicative protein,X,X,X,
AAC32414.1,Begomovirus,Begomovirus,Begomovirus,replicative protein,X,X,X,
AAC34819.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
AAC35298.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAC35320.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAC54875.1,Curtovirus,Curtovirus,Curtovirus,rep,X,X,X,X
AAC56593.1,Circovirus,Circovirus,Circovirus,putative PCV replication-associated protein (REP),X,X,X,
AAC59462.1,Circovirus,Circovirus,Circovirus,putative Rep protein,X,X,X,
AAC69861.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAC98078.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAC98082.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAC98086.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAC98788.1,Babuvirus,Babuvirus,Babuvirus,replicase protein,X,X,X,X
AAC99359.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein C1,X,X,X,
AAD01542.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAD03061.1,Circovirus,NaN,NaN,putative Rep and coat protein,X,,,
AAD03071.1,Circovirus,NaN,NaN,putative Rep and coat protein,X,,,
AAD03086.1,Circovirus,NaN,NaN,putative Rep and coat protein,X,,,
AAD05263.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAD09275.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
AAD09395.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAD09668.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,X
AAD10465.1,Begomovirus,Begomovirus,Begomovirus,putative replicative protein,X,X,X,
AAD10471.1,Begomovirus,Begomovirus,Begomovirus,putative replicative protein,X,X,X,
AAD14625.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAD17898.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAD17968.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAD20641.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAD22940.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAD30059.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAD33452.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein Rep,X,X,X,
AAD37321.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAD38398.1,Circovirus,Circovirus,Circovirus,ORF1,X,X,X,
AAD39153.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAD40938.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAD40946.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAD45580.2,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAD47173.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein AC1,X,X,X,
AAD50432.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAD51287.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAD53082.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAF02098.1,Begomovirus,Begomovirus,Begomovirus,AC1 replicase-associated protein,X,X,X,
AAF04155.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAF04830.1,Begomovirus,Begomovirus,Begomovirus,AL2,X,X,X,
AAF04839.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAF06958.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAF21928.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
AAF22210.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein AC1,X,X,X,
AAF32402.2,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAF34895.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAF35296.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAF35302.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
AAF36703.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAF36708.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAF42737.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF42744.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF44669.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAF63699.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAF63746.1,Begomovirus,Begomovirus,Begomovirus,replicase AC1,X,X,X,
AAF74196.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAF75536.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF75542.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF76868.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAF78039.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAF82373.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAF87236.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAF91376.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAF97439.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAF97593.1,Circovirus,NaN,NaN,Rep,X,,,
AAF97759.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAF97763.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAG01006.1,Begomovirus,Begomovirus,Begomovirus,replication association protein,X,X,X,
AAG15546.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAG27475.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAG30269.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAG30546.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,X
AAG30549.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30552.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30555.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30558.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30561.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30564.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30567.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG44003.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,X
AAG44004.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAK06529.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK06535.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK06852.2,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAK15064.1,Babuvirus,Babuvirus,Babuvirus,putative replicase,X,X,X,
AAK15065.1,Babuvirus,Babuvirus,Babuvirus,putative replicase,X,X,X,
AAK16440.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
